"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp","Updated"
"21 Jump Street (2012/ Blu-ray) / 22 Jump Street (Blu-ray)","Sony Pictures",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",19.99,"R","VAR","Action/Adventure","2.35:1","043396495975",2017-02-28 00:00:00,298113,2017-02-28 00:00:00,"1"
"3 Hours Till Dead","Chemical Burn Entertainment",,"Out","2.0","LBX, 16:9",19.99,"NR","2016","Horror","1.66:1","812073022304",2017-02-28 00:00:00,297729,2017-02-28 00:00:00,"1"
"5 Centimeters Per Second (Discotek Media)","Discotek Media",,"Out","SUB","LBX, 16:9",29.95,"MA13","2007","Anime","1.85:1","693723308524",2017-02-28 00:00:00,298896,2017-02-28 00:00:00,"1"
"5 Centimeters Per Second (Discotek Media/ Blu-ray)","Discotek Media",,"Out","SUB","LBX, 16:9, BLU-RAY",29.95,"MA13","2007","Anime","1.85:1","875707137096",2017-02-28 00:00:00,298937,2017-02-28 00:00:00,"1"
"Actually, I Am: Complete Series","Discotek Media",,"Out","SUB","LBX, 16:9",39.95,"MA13","2015","Anime","1.85:1","875707125093",2017-02-28 00:00:00,298899,2017-02-28 00:00:00,"1"
"Actually, I Am: Complete Series (Blu-ray)","Discotek Media",,"Out","SUB","LBX, 16:9, BLU-RAY",39.95,"MA13","2015","Anime","1.85:1","875707126021",2017-02-28 00:00:00,298989,2017-02-28 00:00:00,"1"
"ALF (Lions Gate): Seasons 1 - 4","Lions Gate",2017-05-09 00:00:00,"Pending","2.0","4:3",59.98,"NR","VAR","TV Classics","1.33:1","031398263685",2017-05-09 00:00:00,299266,2017-02-28 00:00:00,"0"
"All We Had (Blu-ray/ On Demand DVD-R)","Gravitas Ventures",,"Out","2.0","LBX, 16:9, BLU-RAY",24.99,"NR","2016","Drama","1.85:1","191091248607",2017-02-28 00:00:00,297586,2017-02-28 00:00:00,"1"
"All We Had (On Demand DVD-R)","Gravitas Ventures",,"Out","2.0","LBX, 16:9",19.99,"NR","2016","Drama","1.85:1","191091248584",2017-02-28 00:00:00,297489,2017-02-28 00:00:00,"1"
"Allied","Paramount",,"Out","5.1","LBX, 16:9",29.99,"R","2016","Action/Adventure","2.35:1","032429263056",2017-02-28 00:00:00,298097,2017-02-28 00:00:00,"1"
"Allied (Blu-ray 4K w/ Digital Copy)","Paramount",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",48.99,"R","2016","Action/Adventure","2.35:1","032429263001",2017-02-28 00:00:00,298050,2017-02-28 00:00:00,"1"
"Allied (DVD & Blu-ray Combo w/ Digital Copy)","Paramount",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",39.99,"R","2016","Action/Adventure","2.35:1","032429262974",2017-02-28 00:00:00,298058,2017-02-28 00:00:00,"1"
"Alpha And Omega: Howl-iday Adventure (DVD & Blu-ray Combo w/ Digital Copy)","Lions Gate",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",14.99,"NR","2013","Animation","1.78:1","031398179023",2014-10-07 00:00:00,268126,2017-02-28 00:00:00,"1"
"Alpha And Omega: Howl-iday Adventure (w/ Digital Copy)","Lions Gate",,"Out","5.1","LBX, 16:9",14.98,"NR","2013","Animation","1.78:1","031398177210",2014-10-07 00:00:00,268139,2017-02-28 00:00:00,"1"
"Alpha And Omega: Journey To Bear Kingdom","Lions Gate",2017-05-09 00:00:00,"Pending","5.1","LBX, 16:9",14.98,"NR","UNK","Animation","1.78:1","031398260479",2017-05-09 00:00:00,299267,2017-02-28 00:00:00,"0"
